expense_id,expense_date,exp_cat_id,amount,description
18964,2024-09-10,2,4496.41,Utilities expense e-enable scalable e-tailers
12511,,3,,Maintenance expense syndicate cross-platform platforms
791,2025-11-01,3,3276.18,MAINTENANCE EXPENSE DEPLOY 24/7 EYEBALLS
13596,2025-08-04,2,9627.26,Utilities expense visualize sticky technologies
23589,2025-12-31,11,52287.48,logistics expense incentivize web-enabled relationships
32864,2024-09-17,11,60942.9,Logistics expense grow cutting-edge content
25025,2025-12-27,13,3848.98,Training expense empower cross-media infrastructures
28126,2024-10-16,6,38764.11,Travel expense mesh dynamic schemas
21542,2025-12-19,1,97788.43,Rent expense iterate strategic metrics
10024,2026-01-07,10,,Taxes expense visualize revolutionary technologies
31129,2025-04-13,7,7955.66,Office Supplies expense revolutionize integrated experiences
35344,2024-02-04,11,50241.1,Logistics expense evolve one-to-one action-items
17259,2026-02-14,15,8925.59,Miscellaneous expense redefine holistic systems
37874,2025-09-27,15,,Miscellaneous expense disintermediate killer synergies
31090,2025-07-21,2,9612.19,Utilities expense grow real-time web-readiness
10161,2025-12-29,2,22612.46,Utilities expense disintermediate robust applications
3759,2025-04-24,11,7603.31,Logistics expense synergize bricks-and-clicks web services
30663,2025-12-29,10,,Taxes expense e-enable out-of-the-box markets
34487,2024-02-02,7,3349.05,Office Supplies expense leverage out-of-the-box channels
29165,2024-11-27,7,8859.02,Office Supplies expense envisioneer holistic communities
30150,2025-02-01,4,,
24566,2024-06-05,1,,Rent expense exploit user-centric solutions
16872,2025-02-13,1,147052.54,Rent expense implement rich deliverables
19338,2024-08-11,15,8467.51,Miscellaneous expense seize magnetic channels
23913,2024-03-22,9,16046.21,Insurance expense mesh enterprise solutions
34713,2026-01-17,4,,Marketing expense embrace turn-key communities
25523,2025-07-07,12,280152.48,r&d expense harness clicks-and-mortar mindshare
19427,2025-01-27,2,34274.84,Utilities expense monetize interactive action-items
4558,2024-05-29,3,27740.32,Maintenance expense re-contextualize viral niches
17284,2024-09-05,6,10664.77,Travel expense unleash B2B portals
3111,2025-09-12,7,8352.34,Office Supplies expense expedite clicks-and-mortar interfaces
4273,2024-07-02,1,388355.49,Rent expense grow synergistic metrics
202,2024-03-22,8,1918879.56,Payroll Expense Matrix Revolutionary Niches
30337,2024-04-20,2,27653.99,Utilities expense brand compelling supply-chains
11229,2025-04-23,6,16305.21,Travel expense iterate back-end metrics
26646,2024-07-28,10,887845.23,Taxes expense matrix end-to-end functionalities
21126,2024-12-21,14,124800.25,Events expense visualize value-added platforms
16649,2024-01-02,11,43405.63,Logistics expense implement compelling action-items
27113,2024-04-16,2,46451.73,Utilities Expense Morph Enterprise Models
18359,2024-07-28,13,3100.66,Training expense revolutionize transparent e-services
37262,2025-06-29,4,36820.38,MARKETING EXPENSE ITERATE WORLD-CLASS RELATIONSHIPS
37179,2025-09-28,2,17139.81,Utilities expense whiteboard clicks-and-mortar methodologies
29934,2024-05-31,2,39084.04,Utilities expense generate robust web-readiness
17004,2025-12-12,8,1773359.43,Payroll expense syndicate plug-and-play convergence
33672,2024-11-27,7,6430.89,Office Supplies expense synergize B2C deliverables
8238,2025-03-06,6,17184.61,Travel expense incubate interactive communities
17321,2024-11-13,10,420927.92,Taxes expense mesh sticky e-tailers
12208,2024-07-24,14,110439.19,Events expense empower web-enabled architectures
5494,2025-10-13,2,7346.97,Utilities expense whiteboard bricks-and-clicks eyeballs
7874,2024-02-12,2,39772.02,Utilities expense repurpose back-end applications
36647,2025-04-05,11,23501.05,Logistics expense extend cross-platform initiatives
6777,2025-07-11,8,1956942.66,Payroll expense productize next-generation partnerships
33350,2024-12-31,1,117059.93,Rent expense drive granular e-tailers
24919,2025-10-15,7,532.43,
16863,2024-09-08,1,368522.19,
5184,2024-05-12,10,504073.53,Taxes expense expedite impactful systems
17731,2024-10-09,14,15357.65,Events expense reinvent rich bandwidth
38053,2025-12-02,12,,R&D expense envisioneer integrated content
29340,,6,6524.45,Travel expense evolve value-added functionalities
6407,2024-06-07,9,31340.99,Insurance expense strategize integrated deliverables
38315,2026-02-19,2,20521.63,Utilities expense visualize interactive e-commerce
24358,2024-06-26,1,369229.56,Rent expense disintermediate B2C channels
33674,2024-05-27,10,882322.94,Taxes expense harness leading-edge bandwidth
26216,2025-04-08,6,30122.76,Travel expense optimize real-time content
20698,2025-02-12,3,31498.36,Maintenance expense extend revolutionary mindshare
25410,2024-09-13,9,101018.76,Insurance expense harness revolutionary communities
2153,2025-09-26,2,19723.1,Utilities Expense Enhance Cross-Platform Mindshare
25915,,13,6281.03,
17609,2025-08-15,13,4808.16,Training expense orchestrate real-time metrics
