expense_id,expense_date,exp_cat_id,amount,description
1,2024-02-19,14,9849.36,Events expense utilize enterprise experiences
2,2024-06-20,11,37976.13,Logistics expense e-enable interactive relationships
3,2025-03-09,14,192598.77,Events expense re-intermediate B2C schemas
4,2026-01-09,15,7551.61,Miscellaneous expense integrate magnetic synergies
5,2025-08-21,7,5043.52,Office Supplies expense scale back-end e-markets
6,2025-04-09,12,456881.0,R&D expense optimize next-generation platforms
7,2025-07-06,9,50494.54,Insurance expense matrix web-enabled schemas
8,2026-01-17,8,1127034.74,Payroll expense evolve customized channels
9,2024-09-26,3,40401.94,Maintenance expense aggregate interactive convergence
10,2024-09-14,4,245489.24,Marketing expense target global portals
11,2025-12-02,12,127403.06,R&D expense exploit bleeding-edge vortals
12,2025-01-09,2,19570.94,Utilities expense benchmark bricks-and-clicks e-commerce
13,2024-06-21,10,195119.66,Taxes expense transition sticky methodologies
14,2025-11-25,6,17116.41,Travel expense orchestrate user-centric experiences
15,2024-06-04,2,47224.68,Utilities expense strategize turn-key infrastructures
16,2024-07-08,6,38321.76,Travel expense leverage web-enabled supply-chains
17,2024-12-10,4,372621.02,Marketing expense revolutionize mission-critical experiences
18,2024-08-22,5,94317.19,Software expense evolve sticky e-commerce
19,2025-12-02,14,55406.61,Events expense whiteboard dot-com niches
20,2025-02-25,2,40647.2,Utilities expense reinvent back-end models
21,2024-02-19,13,3013.54,Training expense envisioneer vertical functionalities
22,2024-12-30,4,89217.07,Marketing expense enable revolutionary content
23,2025-04-01,10,722886.44,Taxes expense drive revolutionary interfaces
24,2025-02-20,6,5117.39,Travel expense whiteboard enterprise e-commerce
25,2024-02-28,5,58705.5,Software expense streamline cross-platform web services
26,2024-11-06,13,2022.66,Training expense enable robust synergies
27,2025-03-17,2,6069.97,Utilities expense deploy one-to-one e-commerce
28,2025-04-16,5,48911.93,Software expense embrace world-class solutions
29,2026-01-02,9,86075.85,Insurance expense deliver holistic e-markets
30,2024-10-18,7,723.83,Office Supplies expense synergize dynamic interfaces
31,2024-08-02,13,7233.87,Training expense transition visionary interfaces
32,2025-03-14,2,6902.74,Utilities expense optimize wireless e-commerce
33,2024-03-15,8,586050.2,Payroll expense morph distributed relationships
34,2025-03-02,10,948300.3,Taxes expense orchestrate granular vortals
35,2025-11-30,6,34665.37,Travel expense aggregate B2B eyeballs
36,2024-08-26,12,156040.54,R&D expense repurpose collaborative metrics
37,2024-01-14,6,25607.37,Travel expense synthesize front-end architectures
38,2026-02-12,7,1025.41,Office Supplies expense enable ubiquitous bandwidth
39,2025-09-15,3,41855.26,Maintenance expense expedite transparent schemas
40,2024-05-29,7,3345.59,Office Supplies expense maximize enterprise web services
41,2026-01-23,6,36862.24,Travel expense engage best-of-breed info-mediaries
42,2024-01-24,10,265756.76,Taxes expense evolve 24/365 synergies
43,2024-04-12,10,123983.6,Taxes expense monetize robust content
44,2026-01-02,3,7287.49,Maintenance expense morph cross-media e-business
45,2024-09-02,7,4798.66,Office Supplies expense integrate next-generation markets
46,2024-10-14,12,495992.71,R&D expense utilize proactive eyeballs
47,2025-11-01,14,87640.24,Events expense orchestrate enterprise mindshare
48,2024-03-15,11,52333.49,Logistics expense leverage best-of-breed architectures
49,2024-03-19,10,871639.41,Taxes expense brand e-business niches
50,2025-01-28,4,142487.38,Marketing expense re-intermediate global content
51,2025-10-24,3,21915.94,Maintenance expense benchmark scalable supply-chains
52,2024-11-12,3,31649.99,Maintenance expense enhance visionary experiences
53,2024-02-07,11,24240.98,Logistics expense engineer intuitive action-items
54,2025-11-06,13,889.16,Training expense engineer synergistic channels
55,2025-01-11,6,49246.57,Travel expense incentivize user-centric deliverables
56,2024-10-13,7,5409.05,Office Supplies expense streamline next-generation e-services
57,2025-03-10,8,629026.4,Payroll expense whiteboard user-centric functionalities
58,2025-09-22,13,7140.12,Training expense streamline frictionless schemas
59,2024-04-09,3,43556.85,Maintenance expense synergize bricks-and-clicks infrastructures
60,2024-09-03,9,47581.41,Insurance expense morph front-end users
61,2024-12-07,9,30296.89,Insurance expense productize turn-key channels
62,2024-12-29,6,39471.74,Travel expense enable cross-media networks
63,2025-07-01,7,3925.84,Office Supplies expense matrix synergistic networks
64,2025-03-11,14,60388.79,Events expense grow out-of-the-box e-commerce
65,2025-12-29,9,69652.93,Insurance expense revolutionize cross-media networks
66,2024-04-14,5,23569.34,Software expense deploy scalable systems
67,2025-05-23,4,367530.0,Marketing expense orchestrate customized action-items
68,2024-01-26,2,17655.19,Utilities expense revolutionize best-of-breed deliverables
69,2025-01-26,11,71100.26,Logistics expense mesh mission-critical platforms
70,2024-09-26,4,14408.98,Marketing expense brand enterprise markets
71,2025-03-19,11,54134.85,Logistics expense maximize dot-com interfaces
72,2024-04-29,8,1618607.33,Payroll expense productize revolutionary initiatives
73,2024-01-09,9,135859.36,Insurance expense exploit user-centric e-markets
74,2024-12-29,15,6763.1,Miscellaneous expense redefine clicks-and-mortar technologies
75,2024-12-20,4,284121.53,Marketing expense transition extensible communities
76,2025-09-30,9,185505.07,Insurance expense whiteboard value-added metrics
77,2024-02-26,14,114791.7,Events expense strategize killer functionalities
78,2025-09-15,14,112814.12,Events expense engage end-to-end networks
79,2024-06-05,12,120062.62,R&D expense cultivate collaborative content
80,2024-04-01,4,216310.25,Marketing expense envisioneer turn-key interfaces
81,2025-01-23,10,768197.24,Taxes expense scale bricks-and-clicks initiatives
82,2025-01-12,8,775601.98,Payroll expense incubate global web-readiness
83,2024-05-07,7,4914.01,Office Supplies expense utilize viral metrics
84,2024-02-04,4,73132.2,Marketing expense drive open-source systems
85,2025-08-27,7,1951.43,Office Supplies expense exploit interactive supply-chains
86,2025-02-07,14,62147.24,Events expense incentivize interactive convergence
87,2025-07-08,8,1152716.36,Payroll expense visualize wireless content
88,2026-01-12,8,1583020.39,Payroll expense mesh mission-critical infrastructures
89,2024-08-12,10,544570.31,Taxes expense integrate impactful e-markets
90,2024-12-29,13,2157.96,Training expense scale one-to-one content
91,2025-07-30,12,85519.74,R&D expense integrate 24/365 methodologies
92,2026-02-06,6,32297.01,Travel expense re-contextualize vertical portals
93,2024-02-12,15,9004.23,Miscellaneous expense monetize cross-platform content
94,2024-09-16,9,171690.27,Insurance expense generate transparent e-commerce
95,2025-01-08,15,5860.41,Miscellaneous expense visualize granular e-commerce
96,2024-03-23,5,97377.62,Software expense visualize revolutionary partnerships
97,2025-06-05,6,26541.61,Travel expense enhance 24/365 synergies
98,2025-04-24,10,695998.09,Taxes expense iterate seamless e-business
99,2024-10-12,11,78020.84,Logistics expense optimize robust ROI
100,2024-05-04,15,7742.1,Miscellaneous expense engineer B2C models
101,2024-02-16,1,481277.49,Rent expense disintermediate bleeding-edge networks
102,2025-02-07,10,624988.6,Taxes expense engineer rich markets
103,2025-07-17,13,8876.05,Training expense orchestrate robust applications
104,2025-07-04,1,172331.4,Rent expense strategize compelling relationships
105,2025-09-16,9,55832.87,Insurance expense deliver front-end experiences
106,2025-08-26,1,314291.71,Rent expense whiteboard extensible metrics
107,2024-06-26,7,5908.35,Office Supplies expense morph one-to-one experiences
108,2025-02-10,2,6336.14,Utilities expense disintermediate extensible content
109,2024-09-15,13,460.49,Training expense productize open-source deliverables
110,2024-08-15,4,400156.37,Marketing expense revolutionize open-source supply-chains
111,2026-01-03,11,12780.9,Logistics expense target one-to-one applications
112,2024-10-08,5,97789.13,Software expense unleash extensible partnerships
113,2025-09-15,7,8391.09,Office Supplies expense generate transparent functionalities
114,2025-08-21,12,343481.22,R&D expense architect robust solutions
115,2024-08-19,8,517257.77,Payroll expense transform scalable applications
116,2024-11-15,5,54253.37,Software expense re-intermediate cutting-edge paradigms
117,2025-10-03,8,1355958.87,Payroll expense empower enterprise e-business
118,2024-12-31,6,42732.18,Travel expense engage best-of-breed bandwidth
119,2024-06-10,15,7870.71,Miscellaneous expense cultivate customized bandwidth
120,2026-02-05,6,34029.61,Travel expense mesh sticky e-services
121,2024-03-31,10,820393.95,Taxes expense seize B2C portals
122,2024-01-01,4,456195.11,Marketing expense engineer customized infrastructures
123,2024-08-31,3,39729.22,Maintenance expense brand ubiquitous experiences
124,2025-12-24,6,34421.19,Travel expense engineer B2C vortals
125,2025-12-05,5,70456.3,Software expense productize distributed relationships
126,2024-01-11,3,29938.15,Maintenance expense maximize real-time methodologies
127,2025-10-13,15,3970.7,Miscellaneous expense repurpose 24/365 technologies
128,2024-05-30,11,37144.1,Logistics expense whiteboard sticky architectures
129,2024-02-08,11,50343.51,Logistics expense seize cross-media systems
130,2024-05-03,6,26480.89,Travel expense synergize efficient initiatives
131,2025-08-09,2,8508.61,Utilities expense integrate B2B partnerships
132,2025-03-11,13,9084.84,Training expense e-enable killer networks
133,2024-03-13,12,51755.39,R&D expense innovate seamless mindshare
134,2024-03-14,3,49726.73,Maintenance expense architect out-of-the-box e-services
135,2025-02-10,8,1068849.96,Payroll expense re-intermediate integrated infrastructures
136,2024-04-27,8,661069.93,Payroll expense utilize virtual e-business
137,2024-04-30,7,1298.35,Office Supplies expense streamline impactful paradigms
138,2025-06-03,6,49202.13,Travel expense matrix proactive systems
139,2025-03-02,15,4873.92,Miscellaneous expense strategize synergistic convergence
140,2024-01-13,5,63976.26,Software expense transition scalable networks
141,2025-08-15,5,73856.18,Software expense monetize customized methodologies
142,2024-02-09,6,16673.79,Travel expense whiteboard end-to-end solutions
143,2025-02-23,2,10938.72,Utilities expense synthesize one-to-one relationships
144,2024-04-12,5,15734.22,Software expense reinvent one-to-one web services
145,2025-07-06,11,75021.17,Logistics expense disintermediate cross-platform convergence
146,2025-04-20,1,168262.53,Rent expense envisioneer interactive e-tailers
147,2025-03-15,2,41965.88,Utilities expense implement sticky e-tailers
148,2024-10-27,3,29652.18,Maintenance expense generate front-end partnerships
149,2025-05-14,15,6303.11,Miscellaneous expense engineer clicks-and-mortar experiences
150,2025-08-13,13,1517.29,Training expense deploy web-enabled markets
151,2025-11-30,6,14463.0,Travel expense engage distributed initiatives
152,2024-09-03,10,241513.17,Taxes expense cultivate bricks-and-clicks platforms
153,2024-08-18,4,278694.28,Marketing expense deploy user-centric communities
154,2026-01-04,9,85987.26,Insurance expense facilitate transparent methodologies
155,2024-11-29,2,48716.7,Utilities expense utilize value-added schemas
156,2024-10-02,2,45506.08,Utilities expense brand cross-platform mindshare
157,2024-12-26,2,26754.28,Utilities expense monetize wireless interfaces
158,2024-04-30,1,218761.62,Rent expense transition distributed solutions
159,2024-10-04,15,8791.51,Miscellaneous expense engineer strategic initiatives
160,2025-01-22,9,45793.87,Insurance expense leverage global bandwidth
161,2024-12-14,8,998034.23,Payroll expense enhance interactive e-tailers
162,2024-03-27,1,174525.06,Rent expense monetize viral ROI
163,2024-08-28,8,1951360.28,Payroll expense architect robust bandwidth
164,2024-08-19,9,63199.54,Insurance expense exploit cutting-edge bandwidth
165,2024-03-22,14,5768.21,Events expense mesh synergistic web-readiness
166,2025-04-11,11,25917.49,Logistics expense architect out-of-the-box content
167,2024-01-18,10,400341.98,Taxes expense re-contextualize viral web-readiness
168,2024-06-09,11,8885.41,Logistics expense scale virtual interfaces
169,2024-09-19,15,9381.08,Miscellaneous expense aggregate interactive content
170,2024-02-02,11,47822.33,Logistics expense incubate scalable infrastructures
171,2024-07-08,11,30652.46,Logistics expense repurpose ubiquitous niches
172,2025-10-27,1,265163.11,Rent expense strategize 24/365 schemas
173,2026-02-14,15,3950.05,Miscellaneous expense unleash B2B experiences
174,2025-03-02,1,463808.4,Rent expense implement end-to-end supply-chains
175,2025-11-21,15,8789.69,Miscellaneous expense empower 24/7 models
176,2025-01-16,12,322310.64,R&D expense syndicate real-time architectures
177,2024-11-15,2,37626.36,Utilities expense incentivize web-enabled markets
178,2024-01-03,15,3580.29,Miscellaneous expense implement enterprise models
179,2024-08-22,3,48560.19,Maintenance expense engineer e-business networks
180,2025-11-17,1,321583.36,Rent expense disintermediate customized convergence
181,2024-06-21,1,320802.4,Rent expense engineer next-generation synergies
182,2024-12-18,13,9217.24,Training expense enhance innovative communities
183,2025-11-17,14,29617.1,Events expense enable real-time action-items
184,2025-07-19,3,39530.75,Maintenance expense leverage 24/7 systems
185,2025-11-21,12,258175.84,R&D expense implement virtual eyeballs
186,2024-10-20,7,6815.15,Office Supplies expense enhance holistic convergence
187,2025-08-22,3,15356.23,Maintenance expense implement dot-com paradigms
188,2025-11-12,6,39304.85,Travel expense incentivize killer eyeballs
189,2024-03-20,4,447594.35,Marketing expense morph holistic portals
190,2025-07-13,15,5972.5,Miscellaneous expense benchmark extensible web-readiness
191,2026-01-28,3,9463.69,Maintenance expense optimize leading-edge content
192,2025-05-01,2,26432.92,Utilities expense disintermediate out-of-the-box markets
193,2025-02-13,11,98454.35,Logistics expense maximize holistic applications
194,2024-01-04,12,160592.89,R&D expense engage real-time content
195,2025-10-16,6,6411.42,Travel expense cultivate web-enabled methodologies
196,2026-01-09,2,18293.85,Utilities expense incentivize transparent models
197,2025-11-13,3,26655.47,Maintenance expense grow back-end systems
198,2025-09-14,15,4668.29,Miscellaneous expense generate mission-critical solutions
199,2024-09-02,9,185278.01,Insurance expense empower real-time communities
200,2025-03-20,8,1963581.27,Payroll expense synergize e-business experiences
201,2025-10-18,2,9721.43,Utilities expense reinvent 24/365 web services
202,2024-12-05,13,8996.8,Training expense benchmark B2C interfaces
203,2024-09-12,1,301873.99,Rent expense productize B2B e-markets
204,2026-02-06,10,879953.98,Taxes expense target compelling niches
205,2025-05-05,12,363795.56,R&D expense engage best-of-breed eyeballs
206,2024-07-01,12,456971.72,R&D expense synthesize intuitive methodologies
207,2025-09-02,13,3872.48,Training expense extend web-enabled e-commerce
208,2025-02-10,8,1669811.33,Payroll expense deploy cutting-edge deliverables
209,2024-11-07,2,29266.0,Utilities expense revolutionize impactful ROI
210,2024-01-03,8,564847.12,Payroll expense empower turn-key partnerships
211,2024-06-12,2,19829.45,Utilities expense aggregate compelling vortals
212,2025-12-03,11,33733.07,Logistics expense visualize revolutionary communities
213,2025-11-02,7,1179.96,Office Supplies expense unleash synergistic paradigms
214,2026-02-10,7,6634.01,Office Supplies expense revolutionize turn-key systems
215,2024-08-10,10,444678.2,Taxes expense redefine mission-critical info-mediaries
216,2025-12-03,8,1610704.36,Payroll expense target transparent niches
217,2024-05-22,12,64321.28,R&D expense seize synergistic architectures
218,2025-10-19,11,48651.73,Logistics expense exploit bleeding-edge eyeballs
219,2024-07-01,8,770871.53,Payroll expense seize clicks-and-mortar methodologies
220,2025-03-27,15,4647.67,Miscellaneous expense unleash B2C technologies
221,2025-03-27,6,21544.74,Travel expense iterate best-of-breed users
222,2025-03-04,8,747065.54,Payroll expense enhance wireless web-readiness
223,2025-08-31,8,706057.7,Payroll expense enhance bleeding-edge e-business
224,2024-03-07,13,9459.87,Training expense leverage leading-edge paradigms
225,2025-10-29,2,30452.79,Utilities expense implement cross-media web-readiness
226,2025-12-18,5,40519.21,Software expense utilize magnetic infrastructures
227,2024-02-27,12,403051.4,R&D expense utilize killer ROI
228,2025-08-07,9,197002.73,Insurance expense architect front-end portals
229,2025-09-12,1,167197.6,Rent expense matrix back-end markets
230,2025-02-02,1,472329.48,Rent expense synthesize clicks-and-mortar e-services
231,2024-04-01,4,378935.97,Marketing expense incubate user-centric networks
232,2024-02-18,14,134428.11,Events expense implement cross-platform action-items
233,2024-09-17,8,1099476.39,Payroll expense iterate clicks-and-mortar functionalities
234,2024-08-21,14,82510.92,Events expense incentivize cross-media networks
235,2024-03-29,5,74016.94,Software expense cultivate value-added methodologies
236,2024-09-03,15,7384.41,Miscellaneous expense evolve rich e-markets
237,2025-12-14,8,1751828.37,Payroll expense innovate proactive networks
238,2024-12-06,9,128316.14,Insurance expense strategize B2C models
239,2025-01-02,14,88484.68,Events expense brand end-to-end ROI
240,2024-02-04,14,57962.83,Events expense harness web-enabled deliverables
241,2025-08-24,8,666007.69,Payroll expense embrace rich eyeballs
242,2025-10-16,11,76085.27,Logistics expense orchestrate seamless applications
243,2024-07-28,4,98302.87,Marketing expense syndicate granular partnerships
244,2025-02-12,13,7913.65,Training expense redefine cross-media e-tailers
245,2024-05-15,4,284492.95,Marketing expense strategize interactive paradigms
246,2025-06-04,10,356361.59,Taxes expense incubate compelling vortals
247,2025-02-04,4,24965.38,Marketing expense morph dynamic networks
248,2024-08-21,4,254541.05,Marketing expense repurpose dynamic e-markets
249,2025-10-16,5,61339.52,Software expense brand enterprise deliverables
250,2025-04-27,11,96412.6,Logistics expense seize clicks-and-mortar mindshare
251,2026-01-14,4,22146.44,Marketing expense synthesize bricks-and-clicks platforms
252,2025-04-09,13,2697.55,Training expense deliver 24/7 e-business
253,2025-10-04,2,15327.39,Utilities expense transition extensible experiences
254,2025-12-12,15,9872.64,Miscellaneous expense harness impactful supply-chains
255,2025-11-26,5,63692.11,Software expense streamline viral metrics
256,2024-04-12,10,672166.0,Taxes expense architect 24/7 schemas
257,2025-06-11,1,382611.35,Rent expense generate value-added models
258,2024-09-28,12,113712.72,R&D expense leverage intuitive web-readiness
259,2025-08-18,11,7261.13,Logistics expense monetize e-business solutions
260,2025-06-26,10,967685.48,Taxes expense facilitate integrated initiatives
261,2024-12-16,12,421755.98,R&D expense evolve clicks-and-mortar action-items
262,2025-06-21,14,29976.81,Events expense synthesize open-source convergence
263,2024-05-07,15,1074.57,Miscellaneous expense matrix collaborative e-tailers
264,2024-11-24,3,38002.69,Maintenance expense orchestrate vertical web services
265,2025-05-12,11,81127.84,Logistics expense optimize bricks-and-clicks technologies
266,2025-11-09,10,804866.69,Taxes expense redefine B2C bandwidth
267,2024-07-20,8,1072162.8,Payroll expense generate real-time platforms
268,2026-01-05,7,9444.31,Office Supplies expense deploy revolutionary action-items
